,respondent_id,plan_date,HIGH_AVG,LOW_AVG,hour01,hour02,hour03,hour04,hour05,hour06,hour07,hour08,hour09,hour10,hour11,hour12,hour13,hour14,hour15,hour16,hour17,hour18,hour19,hour20,hour21,hour22,hour23,hour24
1717,139,9/14/2017,0.5853658536585366,0.38461538461538464,335.2260742,327.2260742,312.2260742,316.2260742,328.2260742,362.22610469999995,415.2260437,443.2260437,444.2260437,458.2260132,463.2260132,466.2260132,460.2260132,466.2260132,475.2260132,468.2260132,466.2260132,469.2260132,462.2260132,471.2260132,469.2260132,441.2261047,401.22610469999995,357.22610469999995
1718,139,9/15/2017,0.7073170731707317,-0.038461538461538464,334.2260742,323.2260742,315.2260742,321.2260742,331.2260742,372.2260437,423.2260437,446.2260437,457.2260132,450.2260437,455.22607419999997,453.22607419999997,461.2260132,462.2260132,468.2260132,458.2260132,466.2260132,458.2260132,447.2260437,465.2260132,455.2260132,436.2260437,394.22610469999995,366.2260437
1719,139,9/16/2017,0.5609756097560976,0.23076923076923078,336.2260742,325.2260742,314.2260742,314.2260742,312.2260742,330.2260742,347.2260742,367.22610469999995,395.22610469999995,415.22610469999995,423.2261047,422.2260437,421.2260437,413.2260437,411.22610469999995,402.22610469999995,407.22610469999995,412.22610469999995,407.2260437,422.2261047,427.2260437,401.2260437,372.22610469999995,347.2260742
1720,139,9/17/2017,0.2682926829268293,0.4230769230769231,322.2260742,308.2260742,303.2260742,297.2260742,299.2260742,304.2260742,328.2260742,336.2260742,378.22610469999995,391.22610469999995,411.22610469999995,407.22610469999995,416.22610469999995,412.22610469999995,412.22610469999995,411.22610469999995,417.22610469999995,427.2261047,439.2260437,449.2260437,456.2260132,422.2260437,381.22610469999995,345.2260742
1721,139,9/18/2017,0.0975609756097561,0.23076923076923078,320.2260742,310.2260742,304.2260742,313.2260742,321.2260742,368.22610469999995,428.2260437,452.2261047,454.2261047,463.22607419999997,462.2260132,457.22607419999997,457.22607419999997,457.22607419999997,452.2260437,461.2260132,456.22607419999997,478.2260132,486.2260132,502.2260132,491.2260132,459.2260132,416.22610469999995,379.2260742
1722,139,9/19/2017,0.17073170731707318,0.23076923076923078,353.2260742,341.2260742,327.2260742,335.2260742,355.2260742,388.22610469999995,459.2260132,471.22607419999997,477.22607419999997,476.22607419999997,475.22607419999997,472.2260132,472.2260132,463.2260132,453.22607419999997,461.2260132,455.2260132,459.2260132,469.2260132,492.2260132,498.2260132,460.2260132,411.22610469999995,372.2260742
1723,139,9/20/2017,-0.0975609756097561,0.11538461538461539,353.2260742,339.2260742,339.2260742,339.2260742,354.2260742,400.22610469999995,447.2261047,490.2260132,489.22607419999997,485.22607419999997,506.2260132,503.2260132,494.2260132,485.2260132,472.2260132,465.2260132,470.2260132,478.2260132,492.2260132,517.2260132,504.2260132,474.2260132,422.2261047,393.22610469999995
1724,139,9/21/2017,0.07317073170731707,0.15384615384615385,365.2260742,360.2260742,342.2260742,352.2260742,371.2260742,407.22610469999995,466.22607419999997,497.22607419999997,487.22607419999997,503.22607419999997,500.22607419999997,504.2260132,484.2260132,478.2260132,466.2260132,465.2260132,458.22607419999997,461.2260132,468.2260132,496.2260132,494.2260132,476.2260132,419.2260437,386.2260742
1725,139,9/22/2017,0.2926829268292683,0.15384615384615385,363.2260742,349.2260742,347.2260742,349.2260742,368.2260742,406.22610469999995,468.2260132,490.2260132,495.2260132,486.2260132,465.22607419999997,477.2260132,462.2260132,468.2260132,456.2260132,452.22607419999997,448.2260437,450.22607419999997,449.2260437,466.2260132,456.2260132,437.2260437,404.22610469999995,374.22610469999995
1726,139,9/23/2017,0.36585365853658536,0.46153846153846156,348.2260742,334.2260742,328.2260742,326.2260742,323.2260742,335.2260742,362.2260437,381.2260437,405.2260437,423.2260437,438.2260437,428.2260437,419.2260437,420.2260437,418.22610469999995,405.22610469999995,407.22610469999995,417.22610469999995,413.2260437,430.2260437,428.2261047,411.22610469999995,375.22610469999995,361.22610469999995
1727,139,9/24/2017,0.5121951219512195,0.038461538461538464,336.2260742,321.2260742,312.2260742,316.2260742,315.2260742,329.2260742,354.2260437,374.2260437,405.2260437,425.2260437,422.2261047,425.2261047,419.22610469999995,416.22610469999995,405.22610469999995,413.22610469999995,418.22610469999995,423.2260437,434.2260437,462.2260132,454.22607419999997,417.22610469999995,373.22610469999995,343.2260742
1728,139,9/25/2017,0.2682926829268293,0.6153846153846154,324.2260742,302.2260742,303.2260742,305.2260742,317.2260742,366.22610469999995,420.2260437,447.2260437,451.22607419999997,467.2260132,457.22607419999997,469.2260132,470.2260132,461.2260132,461.2260132,455.2260132,455.2260132,462.2260132,474.2260132,498.2260132,478.2260132,452.22607419999997,400.22610469999995,363.2260742
1729,139,9/26/2017,0.4878048780487805,0.6538461538461539,340.2260742,330.2260742,314.2260742,318.2260742,333.2260742,377.2260742,434.2260437,452.22607419999997,450.22607419999997,470.2260132,464.2260132,472.2260132,472.2260132,477.2260132,475.2260132,474.2260132,476.2260132,481.2260132,481.2260132,502.2260132,493.2260132,449.22607419999997,406.2260437,366.2260742
