ID,HIGH,LOW,LOAD,PREDICTION,YDELTA,msum,HOUR,DATETIME
70513,48.500000,40.500000,597.105957,576.873196,20.232761,0.033885,13,2018-02-17 13:00
80222,34.000000,25.500000,691.106018,726.086632,-34.980614,0.050615,22,2018-02-21 22:00
40501,49.000000,40.500000,507.075378,480.396189,26.679190,0.052614,1,2018-01-27 01:00
20523,53.500000,46.000000,467.075378,475.365254,-8.289876,0.017748,23,2018-01-13 23:00
170514,56.000000,47.500000,446.813263,461.141695,-14.328432,0.032068,14,2018-04-28 14:00
430321,56.000000,51.500000,483.545837,518.102366,-34.556529,0.071465,21,2018-10-25 21:00
370020,67.000000,57.500000,458.705261,497.405815,-38.700554,0.084369,20,2018-09-10 20:00
310503,79.000000,55.500000,317.678833,325.330853,-7.652020,0.024087,3,2018-08-04 03:00
520200,44.000000,38.500000,478.438049,534.931109,-56.493059,0.118078,0,2018-12-26 00:00
370212,64.000000,54.500000,452.705231,484.748610,-32.043380,0.070782,12,2018-09-12 12:00
130223,52.500000,43.000000,481.022400,492.663555,-11.641155,0.024201,23,2018-03-28 23:00
80608,42.500000,35.500000,643.106018,643.592621,-0.486603,0.000757,8,2018-02-25 08:00
120304,50.000000,39.000000,441.022400,516.045121,-75.022721,0.170111,4,2018-03-22 04:00
210007,68.500000,51.500000,452.418884,471.156658,-18.737773,0.041417,7,2018-05-21 07:00
330019,74.000000,56.000000,504.678833,484.401781,20.277052,0.040178,19,2018-08-13 19:00
70014,44.000000,33.000000,606.106018,666.383791,-60.277773,0.099451,14,2018-02-12 14:00
40323,45.500000,36.500000,569.075378,567.136331,1.939048,0.003407,23,2018-01-25 23:00
120300,50.000000,39.000000,427.022400,489.838651,-62.816251,0.147103,0,2018-03-22 00:00
70003,44.000000,33.000000,533.106018,534.740011,-1.633993,0.003065,3,2018-02-12 03:00
340604,64.500000,57.000000,301.678833,304.715157,-3.036324,0.010065,4,2018-08-26 04:00
260411,71.000000,53.000000,468.274719,475.576659,-7.301939,0.015593,11,2018-06-29 11:00
520211,44.000000,38.500000,685.438049,685.225904,0.212146,0.000310,11,2018-12-26 11:00
440021,55.500000,45.000000,524.545837,542.791134,-18.245297,0.034783,21,2018-10-29 21:00
430114,53.500000,42.500000,524.545837,539.535837,-14.989999,0.028577,14,2018-10-23 14:00
480119,57.500000,49.000000,591.869690,605.037607,-13.167917,0.022248,19,2018-11-27 19:00
220402,67.000000,47.500000,346.274750,348.829138,-2.554389,0.007377,2,2018-06-01 02:00
330204,83.000000,59.000000,358.678833,352.977359,5.701474,0.015896,4,2018-08-15 04:00
10406,49.500000,43.500000,630.075378,589.778508,40.296871,0.063956,6,2018-01-05 06:00
240111,65.500000,50.000000,460.274719,479.903621,-19.628902,0.042646,11,2018-06-12 11:00
420512,54.500000,43.500000,499.545837,517.226273,-17.680436,0.035393,12,2018-10-20 12:00
480603,45.500000,38.500000,443.438080,485.663044,-42.224964,0.095222,3,2018-12-02 03:00
520204,44.000000,38.500000,499.438049,541.084945,-41.646896,0.083388,4,2018-12-26 04:00
180201,68.000000,44.000000,374.418884,380.155702,-5.736818,0.015322,1,2018-05-02 01:00
180619,75.500000,51.000000,437.418884,422.665300,14.753584,0.033729,19,2018-05-06 19:00
490112,44.500000,31.000000,659.438049,684.317589,-24.879539,0.037728,12,2018-12-04 12:00
90310,49.000000,36.000000,624.022400,673.782360,-49.759960,0.079741,10,2018-03-01 10:00
370018,67.000000,57.500000,459.705261,481.413336,-21.708075,0.047222,18,2018-09-10 18:00
270022,69.500000,53.000000,416.304535,426.832232,-10.527697,0.025288,22,2018-07-02 22:00
300003,87.000000,59.000000,319.304535,335.332801,-16.028266,0.050197,3,2018-07-23 03:00
420410,55.000000,42.000000,551.545837,572.378975,-20.833138,0.037772,10,2018-10-19 10:00
220616,63.500000,52.000000,425.274780,409.025029,16.249751,0.038210,16,2018-06-03 16:00
30114,55.500000,43.500000,543.075378,565.013385,-21.938007,0.040396,14,2018-01-16 14:00
80012,36.000000,29.000000,714.105957,760.521881,-46.415924,0.064999,12,2018-02-19 12:00
470007,48.500000,33.000000,725.869690,735.747392,-9.877702,0.013608,7,2018-11-19 07:00
160405,61.000000,43.000000,483.813232,481.270169,2.543063,0.005256,5,2018-04-20 05:00
380301,66.500000,53.500000,313.705231,351.095359,-37.390128,0.119189,1,2018-09-20 01:00
30400,47.500000,40.000000,515.075378,494.885068,20.190310,0.039199,0,2018-01-19 00:00
380513,67.000000,56.000000,405.705231,427.023175,-21.317944,0.052545,13,2018-09-22 13:00
220202,65.000000,46.500000,335.418884,350.167766,-14.748882,0.043972,2,2018-05-30 02:00
150004,60.000000,42.000000,447.813263,440.989081,6.824181,0.015239,4,2018-04-09 04:00
270320,83.500000,57.000000,477.304504,498.395777,-21.091273,0.044188,20,2018-07-05 20:00
320515,71.000000,61.000000,436.678833,419.288045,17.390788,0.039825,15,2018-08-11 15:00
230209,74.500000,49.500000,457.274719,477.424394,-20.149675,0.044065,9,2018-06-06 09:00
160300,60.500000,40.500000,414.813263,425.899208,-11.085945,0.026725,0,2018-04-19 00:00
520612,48.000000,38.500000,566.438049,613.598424,-47.160375,0.083258,12,2018-12-30 12:00
170222,70.000000,49.000000,424.813263,452.639225,-27.825962,0.065502,22,2018-04-25 22:00
80203,34.000000,25.500000,654.106018,642.681639,11.424380,0.017466,3,2018-02-21 03:00
60111,50.000000,44.500000,611.106018,623.480490,-12.374472,0.020249,11,2018-02-06 11:00
200001,82.500000,55.000000,317.418884,310.593222,6.825663,0.021504,1,2018-05-14 01:00
350221,76.000000,54.000000,470.678833,491.898183,-21.219350,0.045082,21,2018-08-29 21:00
380507,67.000000,56.000000,346.705231,365.904550,-19.199319,0.055376,7,2018-09-22 07:00
80420,38.500000,25.000000,767.106079,739.924064,27.182015,0.035434,20,2018-02-23 20:00
420616,52.500000,42.000000,468.545837,524.753303,-56.207466,0.119962,16,2018-10-21 16:00
350000,73.000000,56.000000,323.678833,338.413232,-14.734399,0.045522,0,2018-08-27 00:00
280408,82.500000,59.500000,471.304504,455.292650,16.011855,0.033973,8,2018-07-13 08:00
80216,34.000000,25.500000,792.105957,770.810194,21.295763,0.026885,16,2018-02-21 16:00
260517,66.500000,56.000000,404.274780,406.102353,-1.827573,0.004521,17,2018-06-30 17:00
290501,75.000000,53.500000,337.304535,334.826967,2.477568,0.007345,1,2018-07-21 01:00
340612,64.500000,57.000000,419.678833,411.278212,8.400621,0.020017,12,2018-08-26 12:00
400403,50.500000,44.500000,380.545868,397.021171,-16.475304,0.043294,3,2018-10-05 03:00
120406,48.000000,38.000000,640.022400,664.373960,-24.351560,0.038048,6,2018-03-23 06:00
340413,68.000000,55.500000,469.678833,466.454761,3.224072,0.006864,13,2018-08-24 13:00
420615,52.500000,42.000000,467.545837,506.082206,-38.536368,0.082423,15,2018-10-21 15:00
170114,74.000000,44.000000,480.813232,481.360839,-0.547606,0.001139,14,2018-04-24 14:00
270522,72.500000,58.000000,404.304535,410.364784,-6.060249,0.014989,22,2018-07-07 22:00
190318,62.000000,50.000000,475.418945,493.810572,-18.391627,0.038685,18,2018-05-10 18:00
130419,58.000000,45.000000,503.022400,534.859968,-31.837568,0.063293,19,2018-03-30 19:00
130611,50.000000,39.500000,567.813232,562.679207,5.134025,0.009042,11,2018-04-01 11:00
150220,54.500000,43.000000,604.813232,586.668206,18.145027,0.030001,20,2018-04-11 20:00
180313,73.000000,48.000000,472.418945,487.535667,-15.116722,0.031999,13,2018-05-03 13:00
480210,50.500000,46.000000,583.869690,604.343730,-20.474040,0.035066,10,2018-11-28 10:00
330619,76.000000,57.000000,471.678833,452.175630,19.503203,0.041348,19,2018-08-19 19:00
250206,82.500000,60.000000,415.274780,384.504419,30.770361,0.074096,6,2018-06-20 06:00
380600,64.500000,50.500000,318.705231,351.209000,-32.503769,0.101987,0,2018-09-23 00:00
30516,48.500000,40.000000,628.075378,605.623178,22.452201,0.035748,16,2018-01-20 16:00
160213,56.500000,40.000000,531.813232,531.916583,-0.103351,0.000194,13,2018-04-18 13:00
40614,56.000000,43.000000,542.075378,497.208262,44.867116,0.082769,14,2018-01-28 14:00
300014,87.000000,59.000000,577.304504,567.954545,9.349959,0.016196,14,2018-07-23 14:00
400113,61.000000,48.000000,472.545837,494.058097,-21.512260,0.045524,13,2018-10-02 13:00
390520,66.500000,51.000000,409.705231,456.969375,-47.264144,0.115361,20,2018-09-29 20:00
510015,52.500000,43.500000,611.438049,604.581673,6.856376,0.011214,15,2018-12-17 15:00
280305,84.500000,57.500000,355.304535,371.427444,-16.122909,0.045378,5,2018-07-12 05:00
340023,77.500000,57.000000,400.678833,399.614909,1.063924,0.002655,23,2018-08-20 23:00
350514,70.000000,53.500000,392.705231,412.738311,-20.033080,0.051013,14,2018-09-01 14:00
330319,73.500000,57.500000,499.678833,482.413203,17.265630,0.034553,19,2018-08-16 19:00
200119,70.500000,54.000000,468.418945,477.903754,-9.484809,0.020249,19,2018-05-15 19:00
90322,49.000000,36.000000,577.022400,583.946158,-6.923758,0.011999,22,2018-03-01 22:00
480314,49.000000,44.000000,563.869690,588.922337,-25.052647,0.044430,14,2018-11-29 14:00
490201,43.500000,29.500000,568.438049,572.275671,-3.837621,0.006751,1,2018-12-05 01:00
370110,65.000000,55.000000,450.705231,480.933754,-30.228523,0.067069,10,2018-09-11 10:00
190018,70.500000,52.000000,476.418945,486.172904,-9.753958,0.020473,18,2018-05-07 18:00
360503,70.500000,57.000000,301.705231,323.062237,-21.357007,0.070788,3,2018-09-08 03:00
160304,60.500000,40.500000,445.813263,452.705602,-6.892339,0.015460,4,2018-04-19 04:00
40301,45.500000,36.500000,513.075378,529.418847,-16.343469,0.031854,1,2018-01-25 01:00
220515,76.500000,52.000000,421.274719,427.535322,-6.260603,0.014861,15,2018-06-02 15:00
180013,57.500000,47.500000,500.813232,508.758130,-7.944898,0.015864,13,2018-04-30 13:00
230204,74.500000,49.500000,337.274750,344.946618,-7.671868,0.022747,4,2018-06-06 04:00
440105,56.500000,44.500000,489.545837,488.539593,1.006244,0.002055,5,2018-10-30 05:00
390513,66.500000,51.000000,403.705231,440.879835,-37.174604,0.092084,13,2018-09-29 13:00
310501,79.000000,55.500000,330.678833,346.107447,-15.428614,0.046657,1,2018-08-04 01:00
360111,72.000000,50.500000,447.705231,479.151373,-31.446142,0.070238,11,2018-09-04 11:00
30521,48.500000,40.000000,587.075378,591.879775,-4.804396,0.008184,21,2018-01-20 21:00
