ID,HIGH,LOW,LOAD,PREDICTION,YDELTA,msum,HOUR,DATETIME
450400,60.500000,47.500000,426.461151,405.457184,21.003967,0.049252,0,2015-11-06 00:00
500303,50.500000,43.500000,458.583008,485.837275,-27.254268,0.059431,3,2015-12-10 03:00
510016,45.500000,37.000000,684.583069,708.372451,-23.789382,0.034750,16,2015-12-14 16:00
250305,75.000000,57.000000,357.798554,362.896811,-5.098258,0.014249,5,2015-06-18 05:00
120518,56.000000,46.000000,455.336670,494.303563,-38.966893,0.085578,18,2015-03-21 18:00
90622,54.000000,33.500000,497.336670,558.567351,-61.230681,0.123117,22,2015-03-01 22:00
470613,47.500000,31.500000,569.461182,586.636768,-17.175587,0.030161,13,2015-11-22 13:00
510205,43.500000,37.000000,598.583008,610.179793,-11.596785,0.019374,5,2015-12-16 05:00
360215,67.500000,54.000000,466.532776,462.508868,4.023908,0.008625,15,2015-09-02 15:00
250021,81.000000,56.000000,490.798523,474.850072,15.948451,0.032495,21,2015-06-15 21:00
110115,55.500000,43.000000,522.336670,561.131473,-38.794803,0.074272,15,2015-03-10 15:00
50305,51.000000,39.500000,559.696289,596.641706,-36.945417,0.066010,5,2015-01-29 05:00
510102,43.000000,33.000000,540.583008,557.552447,-16.969439,0.031391,2,2015-12-15 02:00
270010,81.000000,63.000000,520.798523,505.599396,15.199127,0.029184,10,2015-06-29 10:00
50316,51.000000,39.500000,563.696289,636.552770,-72.856480,0.129248,16,2015-01-29 16:00
510613,46.500000,40.000000,620.583008,589.401577,31.181431,0.050245,13,2015-12-20 13:00
510017,45.500000,37.000000,731.583069,731.359021,0.224048,0.000306,17,2015-12-14 17:00
530018,42.500000,37.000000,745.583069,0.000000,745.583069,1.000000,18,2015-12-28 18:00
110309,64.500000,50.500000,553.336670,539.832817,13.503853,0.024404,9,2015-03-12 09:00
30012,48.500000,38.500000,608.696289,675.332506,-66.636217,0.109474,12,2015-01-12 12:00
420320,66.000000,47.500000,505.504089,490.739085,14.765005,0.029208,20,2015-10-15 20:00
400613,68.500000,47.000000,412.504028,429.367030,-16.863002,0.040880,13,2015-10-04 13:00
270108,85.500000,60.000000,454.798584,465.443837,-10.645253,0.023407,8,2015-06-30 08:00
150621,54.000000,42.500000,508.389221,517.339980,-8.950758,0.017606,21,2015-04-12 21:00
350002,77.000000,54.500000,322.247101,315.880505,6.366596,0.019757,2,2015-08-24 02:00
400201,64.500000,50.500000,347.532776,350.800742,-3.267966,0.009403,1,2015-09-30 01:00
150512,52.000000,42.000000,519.389221,545.938491,-26.549270,0.051116,12,2015-04-11 12:00
400009,66.000000,46.500000,499.532776,504.192150,-4.659374,0.009327,9,2015-09-28 09:00
260307,85.500000,58.000000,437.798554,399.738594,38.059959,0.086935,7,2015-06-25 07:00
390117,64.500000,45.000000,466.532776,460.126766,6.406009,0.013731,17,2015-09-22 17:00
440315,61.000000,53.500000,500.504089,505.652520,-5.148431,0.010286,15,2015-10-29 15:00
340010,79.000000,54.000000,486.247131,478.554648,7.692483,0.015820,10,2015-08-17 10:00
460517,52.500000,43.500000,602.461182,562.839827,39.621355,0.065766,17,2015-11-14 17:00
340206,87.000000,56.000000,414.247101,397.413349,16.833751,0.040637,6,2015-08-19 06:00
320617,81.500000,57.500000,484.247131,482.395475,1.851656,0.003824,17,2015-08-09 17:00
260603,83.500000,63.500000,346.798554,325.182184,21.616370,0.062331,3,2015-06-28 03:00
30018,48.500000,38.500000,692.696289,724.486510,-31.790221,0.045893,18,2015-01-12 18:00
80219,55.500000,38.500000,623.451294,622.064763,1.386531,0.002224,19,2015-02-18 19:00
250509,74.500000,52.000000,410.798554,413.451520,-2.652967,0.006458,9,2015-06-20 09:00
120119,56.000000,41.000000,581.336670,592.714062,-11.377392,0.019571,19,2015-03-17 19:00
310100,79.000000,55.000000,356.870911,374.122460,-17.251549,0.048341,0,2015-07-28 00:00
20415,47.500000,37.500000,606.696289,651.631703,-44.935414,0.074066,15,2015-01-09 15:00
100210,53.500000,30.000000,641.336670,681.927686,-40.591016,0.063291,10,2015-03-04 10:00
130317,69.000000,50.000000,478.336670,477.831851,0.504819,0.001055,17,2015-03-26 17:00
120408,54.000000,47.000000,568.336670,601.362638,-33.025968,0.058110,8,2015-03-20 08:00
420215,57.000000,49.500000,488.504089,517.153677,-28.649587,0.058648,15,2015-10-14 15:00
